11 Hz: Binaural Beats (Alpha Waves),Miracle Healing Tones TP,660
eternal sunshine,Ariana Grande,272
eternal sunshine deluxe: brighter days ahead,Ariana Grande,204
Manâ€™s Best Friend,Sabrina Carpenter,186
Norman Fucking Rockwell!,Lana Del Rey,162
Walking On A Dream,Empire Of The Sun,151
Cry,The Sundays,149
Lust For Life,Lana Del Rey,123
Maybe You've Been Brainwashed Too,New Radicals,123
Hounds Of Love,Kate Bush,120
"Reading, Writing And Arithmetic",The Sundays,102
The Divine Feminine,Mac Miller,101
Salihi x Ferizi,Mc Kresha,101
Hurry Up Tomorrow,The Weeknd,100
Static & Silence,The Sundays,95
Detaj,Flori Mumajesi,95
Positions,Ariana Grande,87
Born To Die - The Paradise Edition,Lana Del Rey,85
THAT'S SHOWBIZ BABY!,JADE,81
Ultraviolence,Lana Del Rey,72
Get Weird,Little Mix,67
Graduation,Kanye West,66
Details,Frou Frou,63
Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,61
HOMECOMING: THE LIVE ALBUM,BeyoncÃ©,60
Per Nje Dashuri,Ermal Fejzullahu,59
Addison,Addison Rae,57
The Stranger (Legacy Edition),Billy Joel,51
Starboy,The Weeknd,50
In A Perfect World,Kodaline,46
AfÃ«r & Larg,Elvana Gjata,44
Sa per fillim,BB Poqi,43
Born To Die â€“ Paradise Edition,Lana Del Rey,40
Blue Banisters,Lana Del Rey,39
Sweetener,Ariana Grande,38
RPO Plays Pink Floyd,Royal Philharmonic Orchestra,38
RENAISSANCE,BeyoncÃ©,36
k bye for now,Ariana Grande,36
AM,Arctic Monkeys,35
Speak for Yourself,Imogen Heap,35
Lugina e dashurisÃ«,ILIR SHAQIRI,34
A Head Full of Dreams,Coldplay,33
Chemtrails Over The Country Club,Lana Del Rey,32
Zimasamshevy,Lyrical Son,31
Costello Music,The Fratellis,31
OK Computer,Radiohead,30
This Old Dog,Mac DeMarco,30
21,Adele,30
My Beautiful Dark Twisted Fantasy,Kanye West,29
Unseen Worlds,Laurie Spiegel,29
Honeymoon,Lana Del Rey,27
Out Of Time,R.E.M.,26
Lady Bird (Original Motion Picture Soundtrack),Jon Brion,26
channel ORANGE,Frank Ocean,26
Dangerous Woman,Ariana Grande,26
Blonde,Frank Ocean,25
Confetti,Little Mix,24
High School Musical 3: Senior Year,High School Musical Cast,23
25,Adele,23
Selected Ambient Works 85-92,Aphex Twin,23
Yours Truly,Ariana Grande,21
Iâ€™m Only F**king Myself,Lola Young,21
Dawn FM,The Weeknd,21
The Slow Rush,Tame Impala,21
Molla E ParÃ«,Shpat Deda,20
Wicked,Stephen Schwartz,20
Thriller,Michael Jackson,20
to hell with it,PinkPantheress,20
Parachutes,Coldplay,20
