songs,num_plays
Zjerm,336
Bleed (feat. Omar Apollo),145
Fancy Footwork,77
Life Goes On,74
Up in the Air,68
Messy,66
Open Hearts,66
"The Winner Takes It All - From ""Mamma Mia!""",62
Born Again (feat. Doja Cat & RAYE),55
Knock 'Em Out,54
Pink Pony Club,52
twilight zone,52
Not Strong Enough,47
Popular,46
Hey hey hey,44
bye,43
Juno,42
Love,41
No One Mourns the Wicked,40
Buzet Me Jane Thare,39
Breakin' Dishes,38
When He Sees Me,37
Rocketeer,36
eternal sunshine,36
Soul Love - 2012 Remaster,35
Superglue,34
Drenicake,34
Another Day Of Sun,33
The Abyss (feat. Lana Del Rey),33
Headlock,32
Another Brick In The Wall,30
Standing Next to You,30
Tu Luta,30
imperfect for you - live version,29
Amal,28
Hey Kids,28
Memory,27
(Nice Dream),26
Without You,26
Per Ty,26
Si Je,25
365,24
Milk - 2021 Remaster,24
You're Not The Only One I Know,23
The Snowstorm: II. Waltz,22
dandelion,22
Oysters In My Pocket,21
Prelude / The Sound Of Music - Medley,21
PUSH 2 START,21
Sun And Moon - Original London Cast Recording/1989,21
Set Fire to the Rain,21
What Is This Feeling?,21
Espresso,20
