Zjerm,114
House Tour,101
Juno,92
EGO,88
You Get What You Give,82
the boy is mine,68
Through The Dark,68
Cuca E UskanÃ«s,66
Po te pres te Shadervani,65
The Next Best American Record,64
Dreams - 2004 Remaster,64
No One Mourns the Wicked,61
Me Sy Mbyllur,60
Bleed (feat. Omar Apollo),57
Cinderella (feat. Ty Dolla $ign),53
Margaritar,53
Running Up That Hill (A Deal With God),48
Before You Break My Heart,47
dandelion,46
Raki Rrushi,45
We Are The People,42
Haunted,41
Timeless (feat Playboi Carti),40
Moj e lind e rritur nÃ« KosovÃ«,37
I Will Survive,37
Lead the Way,36
Rendezvous,36
Simulation Swarm,35
Ne nje falmur te pandare,35
Golden Brown,35
Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,34
I'll Make a Man Out of You,33
a kishe guxu?,33
just like magic,33
Mos shiko tjeter,33
They Don't Care About Us,33
Tears,32
Jbmtqr,32
Homeward,32
Half Mast,31
PÃ«r Kon,31
My Finest Hour,31
You're Still The One,31
Off To The Races,30
My All,29
What It Sounds Like,29
Cold,29
Balerina,28
Thunderstruck,28
Memory,28
"Trouble's What You're In - Live from Union Chapel, London â€“ Oct 5 2011",27
The Only Heartbreaker,27
Buzet Me Jane Thare,27
In My Dreams,26
Times Like These,26
MY EYES,26
Pa Duvak Skan Me U Ba Nuse 1987,25
The Abyss (feat. Lana Del Rey),25
After Hours - Cater 2 U Mix,25
Albanian,24
Copacabana (Glee Cast Version),24
Don't Stop Believin',24
Groupie Love (feat. A$AP Rocky),23
Jarnana,23
AMA DO LOVE,23
Albulena,22
I Can Do It With a Broken Heart,22
eternal sunshine,22
UshtrinÃ« Time Do Ta BÃ«j,22
WHERE IS MY HUSBAND!,22
Dirty Diana - 2012 Remaster,21
Drenicake,20
Another Brick In The Wall,20
National Anthem,20
