11 Hz: Full Body Healing (Alpha Waves),189
11 Hz: Waves Instant Results (Alpha Waves),189
House Tour,141
Margaritar,140
Zjerm,134
You're Still The One,132
the boy is mine,128
Juno,115
Po te pres te Shadervani,107
You Get What You Give,101
EGO,98
Through The Dark,96
11 Hz: Super Concentration (Alpha Waves),95
11 Hz: Waves for Studying (Alpha Waves),94
11 Hz: Regeneration Aging Cells (Alpha Waves),93
The Next Best American Record,91
Moj e lind e rritur nÃ« KosovÃ«,85
Running Up That Hill (A Deal With God),85
Fati ynÃ« shpresÃ« e marrÃ«zi,82
We Are The People,82
Dreams - 2004 Remaster,74
Bleed (feat. Omar Apollo),70
Me Sy Mbyllur,67
Cuca E UskanÃ«s,67
Raki Rrushi,65
Before You Break My Heart,65
dandelion,63
Say Yes To Heaven,61
No One Mourns the Wicked,60
Cinderella (feat. Ty Dolla $ign),59
Groupie Love (feat. A$AP Rocky),59
NjÃ« BuzÃ«qeshje,55
My Finest Hour,52
Half Mast,51
Love Me Like You,50
Life Goes On,50
